Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
All Downtown,Manhattan,submarket,3000,2985,2933,2979,2995,3000,3000,3000,3195,3200,3100,3195,3195,3200,3195,3200,3210,3300,3200,3250,3350,3399.5,3350,3275,3250,3250,3300,3350,3395,3350,3300,3295,3395,3395,3309.5,3350,3300,3347.5,3400,3399,3350,3300,3350,3400,3450,3495,3529,3500,3500,3500,3495,3458.5,3495,3417,3450,3495,3495,3495,3470,3500,3500,3500,3550,3550,3500,3500,3500,3599,3600,3600,3577.5,3600,3595,3600,3662.5,3697,3697.5,3695,3650,3577,3595,3595,3535,3500,3500,3585,3545,3550,3550,3500
All Midtown,Manhattan,submarket,2800,2800,2800,2890,2900,2950,3000,3000,3050,3000,3000,3000,3000,3000,3050,3100,3200,3200,3250,3265,3227,3225,3250,3250,3235,3200,3200,3295,3350,3320,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3395,3350,3395,3395,3350,3350,3390,3350,3375,3395,3400,3450,3500,3467.5,3447.5,3400,3422.5,3450,3490,3467.5,3495,3495,3495,3522.5,3525,3550,3500,3500,3481.5,3425,3430,3400,3495,3500,3500,3553,3500,3500,3495,3495,3450,3400,3408,3395,3435,3432.5,3495,3500,3500
All Upper East Side,Manhattan,submarket,2375,2300,2300,2400,2495,2500,2500,2475,2500,2500,2450,2500,2495,2450,2400,2500,2600,2650,2595,2600,2681.5,2700,2725,2697.5,2650,2652.5,2600,2675,2625,2692.5,2650,2650,2700,2645,2650,2695,2650,2750,2795,2700,2700,2700,2650,2795,2762.5,2750,2700,2750,2695,2700,2650,2650,2650,2650,2650,2599,2612.5,2650,2700,2795,2785,2845,2835,2750,2790,2800,2800,2850,2950,2850,2800,2895,2900,2895,2950,2899.5,2877.5,2800,2750,2750,2795,2795,2800,2875,2800,2800,2850,2850,2810,2826
All Upper Manhattan,Manhattan,submarket,1500,1500,1500,1500,1500,1550,1549,1550,1597.5,1595,1550,1525,1550,1550,1600,1600,1600,1600,1650,1750,1750,1650,1650,1600,1625,1650,1700,1650,1675,1600,1640,1700,1700,1700,1700,1650,1675,1695,1680,1625,1675,1700,1700,1700,1750,1695,1650,1675,1650,1650,1609,1700,1750,1747,1750,1700,1750,1750,1725,1700,1725,1750,1750,1800,1850,1850,1850,1850,1850,1815,1800,1800,1850,1850,1850,1875.5,1900,1899,1900,1900,1879.5,1875,1850,1895,1900,1900,1895,1899.5,1895,1925
All Upper West Side,Manhattan,submarket,2600,2550,2500,2500,2500,2600,2600,2650,2750,2795,2800,2700,2700,2750,2750,2800,2800,2900,2850,2900,2900,2895,2950,3000,3000,2950,2900,2950,2900,2900,2975,2950,2995,2975,2995,2995,2950,2950,3000,3000,3000,2850,2850,2950,3000,3000,2950,2995,2950,3000,3010,3150,3150,3000,3000,3000,3090,3046,3000,3000,3095,3100,3100,3150,3150,3150,3250,3250,3300,3250,3200,3200,3200,3200,3226,3250,3250,3184,3195,3196.5,3208,3200,3150,3100,3100,3100,3100,3100,3100,3100
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1350,1475,1450,1400,1500,1600,1550,1487.5,1550,1650,1625,1525,1525,1600,1600,1700,1885,1885,1600,1800,1900,1850,1750,1850,1650,1650,1800,1795,1799,1750,2000,2086,2200,2100,2000,1900,1650,1750,1700,1800,1950,1850,1962.5,1900,1950,1950,1870,1850,1950,2000,1900,1800,1800,1850,1875,1850,1835,1900,1850,1800,1900,1850,1850,1850,1900,1900,1900,2000,1900,1900,1900,1900,2000,2000,2050,2000,1975,2000,1950,2000,2000,2000,2000,2000,2000,1965,1950,1900,1900,1900
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,1450
Battery Park City,Manhattan,neighborhood,2857.5,2800,2925,2850,2800,2900,2950,2950,3000,3100,3000,3045,2945,2855,2895,2835,2950,3100,3087.5,3100,3197.5,3100,3000,3000,3110,3165,3200,3200,3200,3200,3295,3295,3200,3200,3150,3250,3295,3200,3250,3250,3400,3350,3225,3300,3295,3350,3350,3337.5,3385,3337.5,3425,3250,3315,3500,3545,3500,3585,3400,3300,3275,3400,3550,3600,3600,3725,3785,3705,3795,3817.5,3812.5,3800,3697.5,3525,3600,3625,3750,3857,3847.5,3840,3700,3600,3537.5,3559.5,3575,3600,3572.5,3525,3500,3600,3695
