Area,Boro,Area Type,Date,Median Price
All Downtown,Manhattan,submarket,2010-02,2985
All Downtown,Manhattan,submarket,2010-03,2933
All Downtown,Manhattan,submarket,2010-04,2979
All Downtown,Manhattan,submarket,2010-05,2995
All Downtown,Manhattan,submarket,2010-01,3000
All Downtown,Manhattan,submarket,2010-01,3000
All Downtown,Manhattan,submarket,2010-01,3000
All Downtown,Manhattan,submarket,2010-09,3195
All Downtown,Manhattan,submarket,2010-10,3200
All Downtown,Manhattan,submarket,2010-11,3100
All Downtown,Manhattan,submarket,2010-09,3195
All Downtown,Manhattan,submarket,2010-09,3195
All Downtown,Manhattan,submarket,2010-10,3200
All Downtown,Manhattan,submarket,2010-09,3195
All Downtown,Manhattan,submarket,2010-10,3200
All Downtown,Manhattan,submarket,2011-05,3210
All Downtown,Manhattan,submarket,2011-06,3300
All Downtown,Manhattan,submarket,2010-10,3200
All Downtown,Manhattan,submarket,2011-08,3250
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2011-10,3399.5
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2011-12,3275
All Downtown,Manhattan,submarket,2011-08,3250
All Downtown,Manhattan,submarket,2011-08,3250
All Downtown,Manhattan,submarket,2011-06,3300
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2012-05,3395
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2011-06,3300
All Downtown,Manhattan,submarket,2012-08,3295
All Downtown,Manhattan,submarket,2012-05,3395
All Downtown,Manhattan,submarket,2012-05,3395
All Downtown,Manhattan,submarket,2012-11,3309.5
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2011-06,3300
All Downtown,Manhattan,submarket,2013-02,3347.5
All Downtown,Manhattan,submarket,2013-03,3400
All Downtown,Manhattan,submarket,2013-04,3399
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2011-06,3300
All Downtown,Manhattan,submarket,2011-09,3350
All Downtown,Manhattan,submarket,2013-03,3400
All Downtown,Manhattan,submarket,2013-09,3450
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2013-11,3529
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2014-04,3458.5
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2014-06,3417
All Downtown,Manhattan,submarket,2013-09,3450
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2013-10,3495
All Downtown,Manhattan,submarket,2014-11,3470
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2015-03,3550
All Downtown,Manhattan,submarket,2015-03,3550
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2013-12,3500
All Downtown,Manhattan,submarket,2015-08,3599
All Downtown,Manhattan,submarket,2015-09,3600
All Downtown,Manhattan,submarket,2015-09,3600
All Downtown,Manhattan,submarket,2015-11,3577.5
All Downtown,Manhattan,submarket,2015-09,3600
All Downtown,Manhattan,submarket,2016-01,3595
All Downtown,Manhattan,submarket,2015-09,3600
All Downtown,Manhattan,submarket,2016-03,3662.5
All Downtown,Manhattan,submarket,2016-04,3697
All Downtown,Manhattan,submarket,2016-05,3697.5
All Downtown,Manhattan,submarket,2016-06,3695
