Area,Boro,Area Type,Date,Median Price
NYC,All,City,4/1/09,3901
NYC,All,City,5/1/09,4009
NYC,All,City,6/1/09,4016
NYC,All,City,7/1/09,4088
NYC,All,City,8/1/09,3907
NYC,All,City,9/1/09,3711
NYC,All,City,10/1/09,3625
NYC,All,City,11/1/09,3542
NYC,All,City,12/1/09,3598
NYC,All,City,1/1/10,3637
NYC,All,City,2/1/10,3587
NYC,All,City,3/1/10,3233
NYC,All,City,4/1/10,3371
NYC,All,City,5/1/10,3232
NYC,All,City,6/1/10,3054
NYC,All,City,7/1/10,2866
NYC,All,City,8/1/10,2730
NYC,All,City,9/1/10,2607
NYC,All,City,10/1/10,2474
NYC,All,City,11/1/10,2292
NYC,All,City,12/1/10,2184
NYC,All,City,1/1/11,2311
NYC,All,City,2/1/11,2419
NYC,All,City,3/1/11,2728
NYC,All,City,4/1/11,2635
NYC,All,City,5/1/11,2740
NYC,All,City,6/1/11,2657
NYC,All,City,7/1/11,2457
NYC,All,City,8/1/11,2575
NYC,All,City,9/1/11,2593
NYC,All,City,10/1/11,2506
NYC,All,City,11/1/11,2403
NYC,All,City,10/1/11,2506
NYC,All,City,1/1/12,2722
NYC,All,City,2/1/12,2814
NYC,All,City,3/1/12,3113
NYC,All,City,4/1/12,3236
NYC,All,City,5/1/12,3588
NYC,All,City,6/1/12,3927
NYC,All,City,7/1/12,4067
NYC,All,City,5/1/09,4009
NYC,All,City,9/1/12,3696
NYC,All,City,10/1/12,3863
NYC,All,City,11/1/12,3828
NYC,All,City,12/1/12,3959
NYC,All,City,1/1/13,4805
NYC,All,City,2/1/13,4976
NYC,All,City,3/1/13,5493
NYC,All,City,4/1/13,5952
NYC,All,City,5/1/13,6134
NYC,All,City,6/1/13,6339
NYC,All,City,7/1/13,6572
NYC,All,City,8/1/13,6714
NYC,All,City,9/1/13,6250
NYC,All,City,10/1/13,6822
NYC,All,City,11/1/13,6460
NYC,All,City,12/1/13,6415
NYC,All,City,1/1/14,6820
NYC,All,City,2/1/14,7076
NYC,All,City,3/1/14,7813
NYC,All,City,4/1/14,8244
NYC,All,City,5/1/14,8054
NYC,All,City,6/1/14,7760
NYC,All,City,7/1/14,8776
NYC,All,City,8/1/14,8938
NYC,All,City,9/1/14,8697
NYC,All,City,10/1/14,8639
NYC,All,City,11/1/14,8374
NYC,All,City,12/1/14,8149
NYC,All,City,1/1/15,8568
NYC,All,City,2/1/15,8539
NYC,All,City,3/1/15,9088
NYC,All,City,4/1/15,9445
NYC,All,City,5/1/15,9687
NYC,All,City,6/1/15,9971
